Reference, Value, Footprint, Datasheet, Part Number,
U3,ESP-WROOM-02,libraries:ESP-WROOM-02,http://espressif.com/sites/default/files/documentation/0c-esp-wroom-02_datasheet_en.pdf,",ESP-WROOM-02",d
BR1,DF08S,footprints:DF005S,http://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=206259955&uq=636087571188496593,",DF08S",d
C12,330pF,Capacitors_SMD:C_0805_HandSoldering,http://www.digikey.com/product-detail/en/kemet/C0805C331KCRACTU/399-7151-1-ND/3439391,",C0805C331KCRACTU",d
C9,560uF,Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5,http://www.digikey.com/product-detail/en/nichicon/UPW0J561MPD/493-1703-ND/589444,",UPW0J561MPD",d
C11,220nF,Capacitors_SMD:C_0603_HandSoldering,http://www.digikey.com/product-detail/en/tdk-corporation/C1608X7R1C224K080AC/445-1318-1-ND/567690,",C1608X7R1C224K080AC",d
D5,D,Diodes_SMD:SOD-323,http://www.digikey.com/product-detail/en/micro-commercial-co/1N4148WX-TP/1N4148WXTPMSCT-ND/717312,",1N4148WX-TP",d
RT1,5,Resistors_ThroughHole:Resistor_Vertical_RM5mm,http://www.digikey.com/product-search/en?keywords=SL05%205R001-A,",SL05 5R001-A",d
L1,BEAD,Resistors_SMD:R_0805_HandSoldering,http://www.digikey.com/product-detail/en/tdk-corporation/MMZ2012D121BT000/445-2188-1-ND/765218,",MMZ2012D121BT000",d
C8,12uF,Capacitors_ThroughHole:C_Radial_D10_L13_P5,http://www.digikey.com/product-detail/en/rubycon/400AX12MEFC10X12.5/1189-3120-ND/6049840,",400AX12MEFC10X12.5",d
L2,470uH,Capacitors_ThroughHole:C_Radial_D10_L13_P5,http://www.digikey.com/product-detail/en/bourns-inc/RLB0608-471KL/RLB0608-471KL-ND/2352761,",BK1608HS330-T",d
R16,0.91,Resistors_SMD:R_0805_HandSoldering,http://www.digikey.com/product-detail/en/susumu/RL1220S-R91-F/RL12S.91FCT-ND/567353,",RL1220S-R91-F",d
R15,0.82,Resistors_SMD:R_0805_HandSoldering,http://www.digikey.com/product-detail/en/susumu/RL1220S-R82-F/RL12S.82FCT-ND/433031,",RL1220S-R82-F",d
U1,MEMS-SPM0408LE5H,footprints:memes-mic,https://www.digikey.com/product-detail/en/knowles/SPM0408LE5H-TB-6/423-1129-6-ND/2242368,",SPM0408LE5H-TB-6",d
R3,6.65K,Resistors_SMD:R_0603_HandSoldering,http://www.digikey.com/product-detail/en/yageo/RC0603FR-076K65L/311-6.65KHRCT-ND/730269,",RC0603FR-076K65L",d
R11,10K,Resistors_SMD:R_0603_HandSoldering,http://www.digikey.com/en/resources/datasheets/yageo/rc-series-l-suffix-datasheet,",RC0603JR-0710KL",d
R7,1K,Resistors_SMD:R_0603_HandSoldering,http://www.digikey.com/product-detail/en/yageo/RC0603JR-071KL/311-1.0KGRCT-ND/729624,",RC0603JR-071KL",d
U4,LNK4023D,Power_Integrations:SO-8,http://www.digikey.com/product-detail/en/power-integrations/LNK4023D-TL/596-1527-1-ND/6126520,",LNK4023D-TL",d
R19,27M,Resistors_SMD:R_1206_HandSoldering,http://www.digikey.com/product-detail/en/yageo/RV1206JR-0727ML/311-27MNJCT-ND/2828056,",RV1206JR-0727ML",d
